,titel,categorie,link
0,3D Basisvoorziening,3D,https://www.pdok.nl/introductie/-/article/3d-basisvoorziening-1
1,Actueel Hoogtebestand Nederland (AHN3),Hoogte,https://www.pdok.nl/introductie/-/article/actueel-hoogtebestand-nederland-ahn3-
2,CBS Vierkantstatistieken,Statistieken,https://www.pdok.nl/introductie/-/article/cbs-vierkantstatistieken
3,Richtlijn Stedelijk Afvalwater,Riolering,https://www.pdok.nl/introductie/-/article/kaderrichtlijn-stedelijk-afvalwater
4,Ruimtelijke plannen,Ruimte,https://www.pdok.nl/introductie/-/article/ruimtelijke-plannen
5,Overheidsdiensten,Overheidsdiensten,https://www.pdok.nl/introductie/-/article/overheidsdiensten
6,Potentiekaart reststromen,Energie,https://www.pdok.nl/introductie/-/article/potentiekaart-reststromen
7,RD info,Rijksdriehoeksnet,https://www.pdok.nl/introductie/-/article/rdinfo
8,Beschermde Gebieden - Cultuurhistorie (INSPIRE geharmoniseerd),Gebieden,https://www.pdok.nl/introductie/-/article/beschermde-gebieden-cultuurhistorie-inspire-geharmoniseerd-
9,Begrenzingen van vergunde ontgrondingsgebieden voor zand- en grindwinning,Natuur en milieu,https://www.pdok.nl/introductie/-/article/begrenzingen-van-vergunde-ontgrondingsgebieden-voor-zand-en-grindwinning
10,Waterschapsdata,Waterschappen,https://www.pdok.nl/introductie/-/article/waterschapsdata
11,Population Distribution (INSPIRE geharmoniseerd),Bevolking,https://www.pdok.nl/introductie/-/article/cbs-bevolkingsspreiding-population-distribution-
12,Drone no-fly zones,Drones,https://www.pdok.nl/introductie/-/article/drone-no-fly-zones
13,Basisregistratie Gewaspercelen (BRP),Landbouw & veeteelt,https://www.pdok.nl/introductie/-/article/basisregistratie-gewaspercelen-brp-
14,Basisregistratie Topografie (BRT) TOPNL,Basisregistratie Topografie (BRT),https://www.pdok.nl/introductie/-/article/basisregistratie-topografie-brt-topnl
15,Vogelrichtlijnen,Fauna,https://www.pdok.nl/introductie/-/article/vogelrichtlijnen
16,CBS Gebiedsindelingen,Centraal Bureau voor de Statistiek (CBS),https://www.pdok.nl/introductie/-/article/cbs-gebiedsindelingen
17,Agrarisch Areaal Nederland (AAN),Landbouw & veeteelt,https://www.pdok.nl/introductie/-/article/agrarisch-areaal-nederland-aan-
18,Basisregistratie Ondergrond (BRO),TNO,https://www.pdok.nl/introductie/-/article/basisregistratie-ondergrond-bro-
19,Regionale wandelnetwerken,Recreatie,https://www.pdok.nl/introductie/-/article/regionale-wandelnetwerken
20,Luchtfotolabels,Luchtfoto,https://www.pdok.nl/introductie/-/article/luchtfotolabels
21,Potentieel koude en warmte uit open en gesloten WKO systemen (GJ/ha.jaar),Energie,https://www.pdok.nl/introductie/-/article/potentieel-koude-en-warmte-uit-open-en-gesloten-wko-systemen-gj-ha-jaar-
22,Potentiekaart omgevingswarmte,Energie,https://www.pdok.nl/introductie/-/article/potentiekaart-omgevingswarmte
23,Vaarwegmarkeringen Nederland,Zee,https://www.pdok.nl/introductie/-/article/noordzee-vaarwegmarkeringen-
24,Windsnelheden 100m hoogte,Energie,https://www.pdok.nl/introductie/-/article/windsnelheden-100m-hoogte
25,Gebouwen (INSPIRE geharmoniseerd),Gebouwen (panden),https://www.pdok.nl/introductie/-/article/gebouwen-inspire-geharmoniseerd-
26,Grondwaterbeschermingsgebieden,Grondwater,https://www.pdok.nl/introductie/-/article/grondwaterbeschermingsgebieden
27,Zwemwater (Provinciaal en Rijkswateren) uit Zwemwaterregister,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/zwemwater-provinciaal-en-rijkswateren-
28,Nationaal Wegen Bestand (NWB),Wegen,https://www.pdok.nl/introductie/-/article/nationaal-wegen-bestand-nwb-
29,Basisregistratie Adressen en Gebouwen (BAG),Gebouwen (panden),https://www.pdok.nl/introductie/-/article/basisregistratie-adressen-en-gebouwen-ba-1
30,Schelpdierpercelen (INSPIRE geharmoniseerd),Visserij,https://www.pdok.nl/introductie/-/article/schelpdierenpercelen
31,CBS Wijken en Buurten,Centraal Bureau voor de Statistiek (CBS),https://www.pdok.nl/introductie/-/article/cbs-wijken-en-buurten
32,Beschermde Gebieden Nationale Parken (INSPIRE geharmoniseerd),Natuur en milieu,https://www.pdok.nl/introductie/-/article/beschermde-gebieden-nationale-parken-inspire-geharmoniseerd-
33,Landelijke wandelroutes,Recreatie,https://www.pdok.nl/introductie/-/article/lange-afstandswandelroutes-law-
34,Projecten Deltaplan Agrarisch Waterbeheer,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/projecten-deltaplan-agrarisch-waterbeheer
35,Luchtfoto / PDOK (Open),Luchtfoto,https://www.pdok.nl/introductie/-/article/luchtfoto-pdok
36,Indicatieve aandachtsgebieden funderingsproblematiek,Fundering,https://www.pdok.nl/introductie/-/article/indicatieve-aandachtsgebieden-funderingsproblematiek
37,Fysisch Geografische Regio’s,Landschap,https://www.pdok.nl/introductie/-/article/fysisch-geografische-regio-s
38,Adressen,Adressen,https://www.pdok.nl/introductie/-/article/adress-1
39,Basisregistratie Kadaster (BRK),Grenzen & percelen,https://www.pdok.nl/introductie/-/article/basisregistratie-kadaster-brk-
40,Kaderrichtlijn Mariene Strategie 2018,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/kaderrichtlijn-mariene-strategie
41,Digitaal Topografisch Bestand (DTB),Topografie,https://www.pdok.nl/introductie/-/article/digitaal-topografisch-bestand-dtb-
42,Kaderrichtlijn Water,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/kaderrichtlijn-water
43,Potentiekaart restwarmte,Energie,https://www.pdok.nl/introductie/-/article/potentiekaart-restwarmte
44,Beschermde gebieden Natura2000 (INSPIRE Geharmoniseerd),Natuur en milieu,https://www.pdok.nl/introductie/-/article/beschermde-gebieden-natura2000-inspire-geharmoniseerd-
45,Beschermde gebieden Wetlands (INSPIRE Geharmoniseerd),Zee,https://www.pdok.nl/introductie/-/article/beschermde-gebieden-wetlands-inspire-geharmoniseerd-
46,Human Health Statistics Netherlands (INSPIRE geharmoniseerd),Statistieken,https://www.pdok.nl/introductie/-/article/cbs-gezondheid-human-health-statistics-netherlands-
47,Gepland Landgebruik (INSPIRE geharmoniseerd),Bodem,https://www.pdok.nl/introductie/-/article/gepland-landgebruik-inspire-geharmoniseerd-
48,Hydrografie (INSPIRE geharmoniseerd),Water en vaarwegen,https://www.pdok.nl/introductie/-/article/hydrografie-inspire-geharmoniseerd-
49,Richtlijn Overstromingsrisico EU2018,Water en vaarwegen,https://www.pdok.nl/introductie/-/article/richtlijn-overstromingsrisico-eu2018
